number	paper_code	name_of_publication	Link	family	crop_name	n 	timing_of_stress	T_optimal	T_stress	Comments	Duration_Days	accumulated_heat_units	yield_control	sd_control		yield_heat	sd_heat	rel_yield_heat	delT	yield_difference	SE_control	SE_stress	SE_max	yield_difference_weighted	relative_yield_weighted
29		Differential sensitivity to high temperature of stages in the reproductive development of common bean			commonbean	5		22	33		5	55	3,8	0,4		2,2	0,134	57,89473684	11	1,6	0,178885438	0,059926622	0,178885438	1,421114562	57,7158514
30		Effect of a Heat Wave on Lentil Grown under Free-Air CO2 Enrichment (FACE) in a Semi-Arid Environment			Lentill	5		24,1	30,6		3	19,5	3261	249		2219	206	68,04661147	6,5	1042	111,3561853	92,12600067	111,3561853	930,6438147	-43,30957381
31		Effects of elevated CO2 , drought and temperature on the water relations and gas exchange of groundnut (Arachis hypogaea) stands grown in controlled environment glasshouses			peanut	5		28	32		60	240	2,93	0,2		1,28	0,12	43,68600683	4	1,65	0,089442719	0,053665631	0,089442719	1,560557281	43,59656411
32		Susceptibility of Faba Bean (Vicia faba L.) to Heat Stress During Floral Development and Anthesis			faba beans	20		22	30		5	40	15	1,2		12	1,3	80	8	3	0,268328157	0,290688837	0,290688837	2,709311163	79,70931116
33		Susceptibility of Faba Bean (Vicia faba L.) to Heat Stress During Floral Development and Anthesis			faba beans	20		22	34		5	60	15	1,1		10	0,7	66,66666667	12	5	0,245967478	0,156524758	0,245967478	4,754032522	66,42069919
34		Insect pollination reduces yield loss following heat stress in faba bean (Vicia faba L.)			faba beans	6		18	30		5	60	51,9	5,2		43,7	4,8	84,20038536	12	8,2	2,12289111	1,959591794	2,12289111	6,07710889	82,07749425
35		Insect pollination reduces yield loss following heat stress in faba bean (Vicia faba L.)			faba beans	6		18	34		5	80	51,9	5,2		32,8	5,2	63,19845857	16	19,1	2,12289111	2,12289111	2,12289111	16,97710889	61,07556746
36		Heat tolerance in cowpea: effect of timing and duration of heat stress			cowpea	6		27	36		20	180	24,5	2,3		13,7	1,56	55,91836735	9	10,8	0,938971068	0,636867333	0,938971068	9,861028932	54,97939628
37		my data			soybean	12		28	38		20	200	81,20	7,13		39,09	10,09	48,14151366	10	42,10909091	2,056966483	2,91245728	2,91245728	39,19663363	45,22905638
38		my data			soybean	12		28	38		20	200	89,27	13,06		60,18	10,51	67,41344196	10	29,09090909	3,770700441	3,035397233	3,770700441	25,32020865	63,64274151
39		my data			soybean	12		28	38		20	200	76,789474	6,7713617		37,15	3,1848944	48,37902653	10	39,639474	1,95472375	0,91939982	1,95472375	37,68475025	46,42430278
40		my data			soybean	12		28	38		20	200	78,5	5,9686682		50,235294	5,6552484	63,9940051	10	28,264706	1,723006096	1,632529593	1,723006096	26,5416999	62,270999
41		High temperature and water deficit may reduce seed number in field pea purely by decreasing plant growth rate			pea	6		25	31		6	36	41,5	3,9		25,3	5,7	60,96385542	6	16,2	1,592168333	2,327015256	2,327015256	13,87298474	58,63684017
43		Fruit Number in Relation to Pollen Production and Viability in Groundnut Exposed to Short Episodes of Heat Stress			peanut	4		28	34		6	36	27	2		24	3	88,88888889	6	3	1	1,5	1,5	1,5	87,38888889
44		Fruit Number in Relation to Pollen Production and Viability in Groundnut Exposed to Short Episodes of Heat Stress			peanut	4		28	42		6	84	27	2		21,5	2	79,62962963	14	5,5	1	1	1	4,5	78,62962963
45		Seed set, pollen morphology and pollen surface composition response to heat stress in field pea Yunfei			pea	5		24	36		7	84	4,6	0,321		3,4	0,233	73,91304348	12	1,2	0,143555564	0,104200768	0,143555564	1,056444436	73,76948791
46		OBSERVATIONS ON THE EFFECT OF VARYING TEMPERATURES ON THE FLOWERING AND FRUIT SET IN THREE VARIETIES OF GROUNDNUT1 )			peanut	4		27	30		60	180	4,25	0,12		3,75	0,6	88,23529412	3	0,5	0,06	0,3	0,3	0,2	87,93529412
47		OBSERVATIONS ON THE EFFECT OF VARYING TEMPERATURES ON THE FLOWERING AND FRUIT SET IN THREE VARIETIES OF GROUNDNUT1 )			peanut	4		27	30		60	180	25,4	1,6		17,8	3,2	70,07874016	3	7,6	0,8	1,6	1,6	6	68,47874016
48		Securing reproductive function in mungbean grown under high temperature environment with exogenous application of proline			mungbeans	30		32,5	40		33	247,5	5,5	0,65		4,2	0,71	76,36363636	7,5	1,3	0,118673221	0,129627672	0,129627672	1,170372328	76,23400869
49		Securing reproductive function in mungbean grown under high temperature environment with exogenous application of proline			mungbeans	30		32,5	40		33	247,5	5,2	0,56		3,4	0,68	65,38461538	7,5	1,8	0,102241544	0,124150446	0,124150446	1,675849554	65,26046494
50		Securing reproductive function in mungbean grown under high temperature environment with exogenous application of proline			mungbeans	30		32,5	45		33	412,5	5,5	0,65		3,1	0,73	56,36363636	12,5	2,4	0,118673221	0,133279156	0,133279156	2,266720844	56,23035721
51		Securing reproductive function in mungbean grown under high temperature environment with exogenous application of proline			mungbeans	30		32,5	45		33	412,5	5,2	0,56		2	0,68	38,46153846	12,5	3,2	0,102241544	0,124150446	0,124150446	3,075849554	38,33738802
